ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour
0,0,1,50,17,Sunday,0
1,0,2,50,19,Sunday,0
2,0,3,60,13,Sunday,0
3,1,2,130,16,Sunday,0
4,1,7,130,23,Sunday,0
5,2,5,60,12,Sunday,0
6,3,4,110,24,Sunday,0
7,3,10,100,22,Sunday,0
8,4,5,140,53,Sunday,0
9,4,6,80,19,Sunday,0
10,5,8,90,14,Sunday,0
11,5,12,130,19,Sunday,0
12,6,7,50,14,Sunday,0
13,7,9,120,17,Sunday,0
14,8,9,110,15,Sunday,0
15,9,11,110,28,Sunday,0
16,9,13,80,22,Sunday,0
17,10,11,50,10,Sunday,0
18,10,13,50,18,Sunday,0
19,11,12,100,29,Sunday,0
20,0,1,100,29,Sunday,2
21,0,2,50,11,Sunday,2
22,0,3,120,43,Sunday,2
23,1,2,60,7,Sunday,2
24,1,7,120,13,Sunday,2
25,2,5,80,29,Sunday,2
26,3,4,90,23,Sunday,2
27,3,10,60,17,Sunday,2
28,4,5,110,17,Sunday,2
29,4,6,90,22,Sunday,2
30,5,8,50,9,Sunday,2
31,5,12,60,6,Sunday,2
32,6,7,110,41,Sunday,2
33,7,9,140,55,Sunday,2
34,8,9,90,24,Sunday,2
35,9,11,130,49,Sunday,2
36,9,13,140,29,Sunday,2
37,10,11,110,16,Sunday,2
38,10,13,70,8,Sunday,2
39,11,12,140,19,Sunday,2
40,0,1,60,7,Sunday,4
41,0,2,140,41,Sunday,4
42,0,3,70,7,Sunday,4
43,1,2,110,12,Sunday,4
44,1,7,80,31,Sunday,4
45,2,5,60,17,Sunday,4
46,3,4,50,19,Sunday,4
47,3,10,120,35,Sunday,4
48,4,5,140,51,Sunday,4
49,4,6,140,15,Sunday,4
50,5,8,110,19,Sunday,4
51,5,12,60,20,Sunday,4
52,6,7,80,31,Sunday,4
53,7,9,60,21,Sunday,4
54,8,9,50,7,Sunday,4
55,9,11,60,22,Sunday,4
56,9,13,70,12,Sunday,4
57,10,11,130,21,Sunday,4
58,10,13,80,10,Sunday,4
59,11,12,90,14,Sunday,4
60,0,1,70,26,Sunday,6
61,0,2,90,29,Sunday,6
62,0,3,140,50,Sunday,6
63,1,2,130,13,Sunday,6
64,1,7,50,13,Sunday,6
65,2,5,130,27,Sunday,6
66,3,4,140,44,Sunday,6
67,3,10,110,33,Sunday,6
68,4,5,100,11,Sunday,6
69,4,6,110,27,Sunday,6
70,5,8,50,19,Sunday,6
71,5,12,60,9,Sunday,6
72,6,7,90,32,Sunday,6
73,7,9,50,9,Sunday,6
74,8,9,110,31,Sunday,6
75,9,11,90,31,Sunday,6
76,9,13,120,32,Sunday,6
77,10,11,80,10,Sunday,6
78,10,13,120,24,Sunday,6
79,11,12,70,27,Sunday,6
80,0,1,50,18,Sunday,8
81,0,2,70,23,Sunday,8
82,0,3,110,26,Sunday,8
83,1,2,60,16,Sunday,8
84,1,7,120,16,Sunday,8
85,2,5,100,13,Sunday,8
86,3,4,130,21,Sunday,8
87,3,10,70,19,Sunday,8
88,4,5,110,38,Sunday,8
89,4,6,120,34,Sunday,8
90,5,8,110,37,Sunday,8
91,5,12,130,39,Sunday,8
92,6,7,100,24,Sunday,8
93,7,9,60,17,Sunday,8
94,8,9,140,50,Sunday,8
95,9,11,50,18,Sunday,8
96,9,13,70,8,Sunday,8
97,10,11,90,9,Sunday,8
98,10,13,70,26,Sunday,8
99,11,12,60,8,Sunday,8
100,0,1,100,44,Sunday,10
101,0,2,110,46,Sunday,10
102,0,3,110,58,Sunday,10
103,1,2,80,43,Sunday,10
104,1,7,130,55,Sunday,10
105,2,5,90,47,Sunday,10
106,3,4,140,42,Sunday,10
107,3,10,50,26,Sunday,10
108,4,5,110,36,Sunday,10
109,4,6,90,31,Sunday,10
110,5,8,80,41,Sunday,10
111,5,12,90,32,Sunday,10
112,6,7,120,64,Sunday,10
113,7,9,120,64,Sunday,10
114,8,9,80,43,Sunday,10
115,9,11,140,59,Sunday,10
116,9,13,50,25,Sunday,10
117,10,11,130,76,Sunday,10
118,10,13,50,19,Sunday,10
119,11,12,90,48,Sunday,10
120,0,1,70,38,Sunday,12
121,0,2,120,40,Sunday,12
122,0,3,60,28,Sunday,12
123,1,2,130,75,Sunday,12
124,1,7,110,49,Sunday,12
125,2,5,140,47,Sunday,12
126,3,4,50,25,Sunday,12
127,3,10,50,15,Sunday,12
128,4,5,50,18,Sunday,12
129,4,6,120,71,Sunday,12
130,5,8,90,33,Sunday,12
131,5,12,120,65,Sunday,12
132,6,7,70,27,Sunday,12
133,7,9,70,26,Sunday,12
134,8,9,60,31,Sunday,12
135,9,11,70,33,Sunday,12
136,9,13,90,36,Sunday,12
137,10,11,130,60,Sunday,12
138,10,13,120,64,Sunday,12
139,11,12,100,32,Sunday,12
140,0,1,140,75,Sunday,14
141,0,2,50,15,Sunday,14
142,0,3,70,41,Sunday,14
143,1,2,140,55,Sunday,14
144,1,7,90,34,Sunday,14
145,2,5,110,37,Sunday,14
146,3,4,140,69,Sunday,14
147,3,10,110,53,Sunday,14
148,4,5,90,49,Sunday,14
149,4,6,120,38,Sunday,14
150,5,8,120,69,Sunday,14
151,5,12,80,35,Sunday,14
152,6,7,80,27,Sunday,14
153,7,9,70,30,Sunday,14
154,8,9,100,41,Sunday,14
155,9,11,120,41,Sunday,14
156,9,13,110,38,Sunday,14
157,10,11,50,24,Sunday,14
158,10,13,60,24,Sunday,14
159,11,12,100,44,Sunday,14
160,0,1,50,29,Sunday,16
161,0,2,50,17,Sunday,16
162,0,3,60,26,Sunday,16
163,1,2,70,32,Sunday,16
164,1,7,110,62,Sunday,16
165,2,5,50,28,Sunday,16
166,3,4,130,46,Sunday,16
167,3,10,50,22,Sunday,16
168,4,5,80,30,Sunday,16
169,4,6,140,80,Sunday,16
170,5,8,120,57,Sunday,16
171,5,12,100,51,Sunday,16
172,6,7,110,52,Sunday,16
173,7,9,80,34,Sunday,16
174,8,9,90,47,Sunday,16
175,9,11,80,39,Sunday,16
176,9,13,50,29,Sunday,16
177,10,11,110,44,Sunday,16
178,10,13,110,38,Sunday,16
179,11,12,130,68,Sunday,16
180,0,1,60,34,Sunday,18
181,0,2,130,51,Sunday,18
182,0,3,80,42,Sunday,18
183,1,2,50,19,Sunday,18
184,1,7,110,44,Sunday,18
185,2,5,90,36,Sunday,18
186,3,4,50,18,Sunday,18
187,3,10,80,34,Sunday,18
188,4,5,60,19,Sunday,18
189,4,6,90,33,Sunday,18
190,5,8,80,40,Sunday,18
191,5,12,80,44,Sunday,18
192,6,7,60,18,Sunday,18
193,7,9,90,47,Sunday,18
194,8,9,130,63,Sunday,18
195,9,11,50,21,Sunday,18
196,9,13,60,23,Sunday,18
197,10,11,60,23,Sunday,18
198,10,13,130,75,Sunday,18
199,11,12,120,52,Sunday,18
200,0,1,90,9,Sunday,20
201,0,2,140,43,Sunday,20
202,0,3,120,27,Sunday,20
203,1,2,90,15,Sunday,20
204,1,7,50,18,Sunday,20
205,2,5,130,27,Sunday,20
206,3,4,110,12,Sunday,20
207,3,10,50,15,Sunday,20
208,4,5,100,17,Sunday,20
209,4,6,120,45,Sunday,20
210,5,8,50,17,Sunday,20
211,5,12,60,13,Sunday,20
212,6,7,70,18,Sunday,20
213,7,9,70,22,Sunday,20
214,8,9,50,15,Sunday,20
215,9,11,100,37,Sunday,20
216,9,13,120,43,Sunday,20
217,10,11,120,16,Sunday,20
218,10,13,80,24,Sunday,20
219,11,12,60,20,Sunday,20
220,0,1,70,8,Sunday,22
221,0,2,90,23,Sunday,22
222,0,3,100,29,Sunday,22
223,1,2,90,27,Sunday,22
224,1,7,60,20,Sunday,22
225,2,5,90,16,Sunday,22
226,3,4,140,46,Sunday,22
227,3,10,90,34,Sunday,22
228,4,5,130,21,Sunday,22
