,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,LinkWeight
0,0,1,140,30,Sunday,0,2.333
1,0,2,100,35,Sunday,0,1.429
2,0,3,130,14,Sunday,0,4.643
3,1,2,120,27,Sunday,0,2.222
4,1,7,50,19,Sunday,0,1.316
5,2,5,70,10,Sunday,0,3.500
6,3,4,100,25,Sunday,0,2.000
7,3,10,80,20,Sunday,0,2.000
8,4,5,130,19,Sunday,0,3.421
9,4,6,140,29,Sunday,0,2.414
10,5,8,50,16,Sunday,0,1.562
11,5,12,80,21,Sunday,0,1.905
12,6,7,90,14,Sunday,0,3.214
13,7,9,110,21,Sunday,0,2.619
14,8,9,60,10,Sunday,0,3.000
15,9,11,140,53,Sunday,0,1.321
16,9,13,120,20,Sunday,0,3.000
17,10,11,70,7,Sunday,0,5.000
18,10,13,50,8,Sunday,0,3.125
19,11,12,80,13,Sunday,0,3.077
20,0,1,70,16,Sunday,2,2.188
21,0,2,100,16,Sunday,2,3.125
22,0,3,130,26,Sunday,2,2.500
23,1,2,70,13,Sunday,2,2.692
24,1,7,110,30,Sunday,2,1.833
25,2,5,50,10,Sunday,2,2.500
26,3,4,110,21,Sunday,2,2.619
27,3,10,70,15,Sunday,2,2.333
28,4,5,60,16,Sunday,2,1.875
29,4,6,90,35,Sunday,2,1.286
30,5,8,140,51,Sunday,2,1.373
31,5,12,50,14,Sunday,2,1.786
32,6,7,100,12,Sunday,2,4.167
33,7,9,90,20,Sunday,2,2.250
34,8,9,90,24,Sunday,2,1.875
35,9,11,100,15,Sunday,2,3.333
36,9,13,120,42,Sunday,2,1.429
37,10,11,70,8,Sunday,2,4.375
38,10,13,90,9,Sunday,2,5.000
39,11,12,100,37,Sunday,2,1.351
40,0,1,110,12,Sunday,4,4.583
41,0,2,130,39,Sunday,4,1.667
42,0,3,100,22,Sunday,4,2.273
43,1,2,140,14,Sunday,4,5.000
44,1,7,120,14,Sunday,4,4.286
45,2,5,70,26,Sunday,4,1.346
46,3,4,80,11,Sunday,4,3.636
47,3,10,80,22,Sunday,4,1.818
48,4,5,100,26,Sunday,4,1.923
49,4,6,100,38,Sunday,4,1.316
50,5,8,130,29,Sunday,4,2.241
51,5,12,120,18,Sunday,4,3.333
52,6,7,140,37,Sunday,4,1.892
53,7,9,90,10,Sunday,4,4.500
54,8,9,110,16,Sunday,4,3.438
55,9,11,80,18,Sunday,4,2.222
56,9,13,130,36,Sunday,4,1.806
57,10,11,70,17,Sunday,4,2.059
58,10,13,90,31,Sunday,4,1.452
59,11,12,130,18,Sunday,4,3.611
60,0,1,90,30,Sunday,6,1.500
61,0,2,100,19,Sunday,6,2.632
62,0,3,70,9,Sunday,6,3.889
63,1,2,70,16,Sunday,6,2.188
64,1,7,120,22,Sunday,6,2.727
65,2,5,50,6,Sunday,6,4.167
66,3,4,140,48,Sunday,6,1.458
67,3,10,110,13,Sunday,6,4.231
68,4,5,80,31,Sunday,6,1.290
69,4,6,140,36,Sunday,6,1.944
70,5,8,90,23,Sunday,6,1.957
71,5,12,110,20,Sunday,6,2.750
72,6,7,50,19,Sunday,6,1.316
73,7,9,50,17,Sunday,6,1.471
74,8,9,120,33,Sunday,6,1.818
75,9,11,80,12,Sunday,6,3.333
76,9,13,140,22,Sunday,6,3.182
77,10,11,110,17,Sunday,6,3.235
78,10,13,70,20,Sunday,6,1.750
79,11,12,100,14,Sunday,6,3.571
80,0,1,50,18,Sunday,8,1.389
81,0,2,110,29,Sunday,8,1.897
82,0,3,70,21,Sunday,8,1.667
83,1,2,140,24,Sunday,8,2.917
84,1,7,130,42,Sunday,8,1.548
85,2,5,120,32,Sunday,8,1.875
86,3,4,120,29,Sunday,8,2.069
87,3,10,90,24,Sunday,8,1.875
88,4,5,110,20,Sunday,8,2.750
89,4,6,60,18,Sunday,8,1.667
90,5,8,130,24,Sunday,8,2.708
91,5,12,120,33,Sunday,8,1.818
92,6,7,70,9,Sunday,8,3.889
93,7,9,120,29,Sunday,8,2.069
94,8,9,130,48,Sunday,8,1.354
95,9,11,130,36,Sunday,8,1.806
96,9,13,60,17,Sunday,8,1.765
97,10,11,140,16,Sunday,8,4.375
98,10,13,90,20,Sunday,8,2.250
99,11,12,130,30,Sunday,8,2.167
100,0,1,120,52,Sunday,10,1.154
101,0,2,90,37,Sunday,10,1.216
102,0,3,70,39,Sunday,10,0.897
103,1,2,50,22,Sunday,10,1.136
104,1,7,130,55,Sunday,10,1.182
105,2,5,100,51,Sunday,10,0.980
106,3,4,90,41,Sunday,10,1.098
107,3,10,90,53,Sunday,10,0.849
108,4,5,130,61,Sunday,10,1.066
109,4,6,100,38,Sunday,10,1.316
110,5,8,100,53,Sunday,10,0.943
111,5,12,110,55,Sunday,10,1.000
112,6,7,70,35,Sunday,10,1.000
113,7,9,100,40,Sunday,10,1.250
114,8,9,130,48,Sunday,10,1.354
115,9,11,130,49,Sunday,10,1.327
116,9,13,80,35,Sunday,10,1.143
117,10,11,120,54,Sunday,10,1.111
118,10,13,60,31,Sunday,10,0.968
119,11,12,70,40,Sunday,10,0.875
120,0,1,140,75,Sunday,12,0.933
121,0,2,110,52,Sunday,12,1.058
122,0,3,140,77,Sunday,12,0.909
123,1,2,90,50,Sunday,12,0.900
124,1,7,50,18,Sunday,12,1.389
125,2,5,70,39,Sunday,12,0.897
126,3,4,120,47,Sunday,12,1.277
127,3,10,80,45,Sunday,12,0.889
128,4,5,70,41,Sunday,12,0.854
129,4,6,50,22,Sunday,12,1.136
130,5,8,80,29,Sunday,12,1.379
131,5,12,50,29,Sunday,12,0.862
132,6,7,70,24,Sunday,12,1.458
133,7,9,100,35,Sunday,12,1.429
134,8,9,120,48,Sunday,12,1.250
135,9,11,130,41,Sunday,12,1.585
136,9,13,110,62,Sunday,12,0.887
137,10,11,100,42,Sunday,12,1.190
138,10,13,140,46,Sunday,12,1.522
139,11,12,140,55,Sunday,12,1.273
140,0,1,80,46,Sunday,14,0.870
141,0,2,100,30,Sunday,14,1.667
142,0,3,100,42,Sunday,14,1.190
143,1,2,90,40,Sunday,14,1.125
144,1,7,60,35,Sunday,14,0.857
145,2,5,100,31,Sunday,14,1.613
146,3,4,130,58,Sunday,14,1.121
147,3,10,60,27,Sunday,14,1.111
148,4,5,130,71,Sunday,14,0.915
149,4,6,100,48,Sunday,14,1.042
150,5,8,90,38,Sunday,14,1.184
151,5,12,70,34,Sunday,14,1.029
152,6,7,110,56,Sunday,14,0.982
153,7,9,120,45,Sunday,14,1.333
154,8,9,70,40,Sunday,14,0.875
155,9,11,110,63,Sunday,14,0.873
156,9,13,80,28,Sunday,14,1.429
157,10,11,140,47,Sunday,14,1.489
158,10,13,100,56,Sunday,14,0.893
159,11,12,50,21,Sunday,14,1.190
160,0,1,60,28,Sunday,16,1.071
161,0,2,140,81,Sunday,16,0.864
162,0,3,130,48,Sunday,16,1.354
163,1,2,100,50,Sunday,16,1.000
164,1,7,140,66,Sunday,16,1.061
165,2,5,110,60,Sunday,16,0.917
166,3,4,80,39,Sunday,16,1.026
167,3,10,90,42,Sunday,16,1.071
168,4,5,110,57,Sunday,16,0.965
169,4,6,70,40,Sunday,16,0.875
170,5,8,140,58,Sunday,16,1.207
171,5,12,90,42,Sunday,16,1.071
172,6,7,90,40,Sunday,16,1.125
173,7,9,50,20,Sunday,16,1.250
174,8,9,90,42,Sunday,16,1.071
175,9,11,90,31,Sunday,16,1.452
176,9,13,120,37,Sunday,16,1.622
177,10,11,60,32,Sunday,16,0.938
178,10,13,80,33,Sunday,16,1.212
179,11,12,50,27,Sunday,16,0.926
180,0,1,70,33,Sunday,18,1.061
181,0,2,50,22,Sunday,18,1.136
182,0,3,130,74,Sunday,18,0.878
183,1,2,90,34,Sunday,18,1.324
184,1,7,120,38,Sunday,18,1.579
185,2,5,80,39,Sunday,18,1.026
186,3,4,90,31,Sunday,18,1.452
187,3,10,90,36,Sunday,18,1.250
188,4,5,120,66,Sunday,18,0.909
189,4,6,130,77,Sunday,18,0.844
190,5,8,60,18,Sunday,18,1.667
191,5,12,70,30,Sunday,18,1.167
192,6,7,90,44,Sunday,18,1.023
193,7,9,100,49,Sunday,18,1.020
194,8,9,90,50,Sunday,18,0.900
195,9,11,130,40,Sunday,18,1.625
196,9,13,120,58,Sunday,18,1.034
197,10,11,100,51,Sunday,18,0.980
198,10,13,140,50,Sunday,18,1.400
199,11,12,50,15,Sunday,18,1.667
200,0,1,90,26,Sunday,20,1.731
201,0,2,120,18,Sunday,20,3.333
202,0,3,130,25,Sunday,20,2.600
203,1,2,50,11,Sunday,20,2.273
204,1,7,110,41,Sunday,20,1.341
205,2,5,110,41,Sunday,20,1.341
206,3,4,110,23,Sunday,20,2.391
207,3,10,90,23,Sunday,20,1.957
208,4,5,60,15,Sunday,20,2.000
209,4,6,50,16,Sunday,20,1.562
210,5,8,110,29,Sunday,20,1.897
211,5,12,120,31,Sunday,20,1.935
212,6,7,70,12,Sunday,20,2.917
213,7,9,120,47,Sunday,20,1.277
214,8,9,120,33,Sunday,20,1.818
215,9,11,130,22,Sunday,20,2.955
216,9,13,110,14,Sunday,20,3.929
217,10,11,60,13,Sunday,20,2.308
218,10,13,90,35,Sunday,20,1.286
219,11,12,60,8,Sunday,20,3.750
220,0,1,50,10,Sunday,22,2.500
221,0,2,110,15,Sunday,22,3.667
222,0,3,110,42,Sunday,22,1.310
223,1,2,50,6,Sunday,22,4.167
224,1,7,60,13,Sunday,22,2.308
225,2,5,140,55,Sunday,22,1.273
226,3,4,60,10,Sunday,22,3.000
227,3,10,90,31,Sunday,22,1.452
228,4,5,120,21,Sunday,22,2.857
229,4,6,70,26,Sunday,22,1.346
230,5,8,70,20,Sunday,22,1.750
231,5,12,70,9,Sunday,22,3.889
232,6,7,140,27,Sunday,22,2.593
233,7,9,50,13,Sunday,22,1.923
234,8,9,60,18,Sunday,22,1.667
235,9,11,60,14,Sunday,22,2.143
236,9,13,50,14,Sunday,22,1.786
237,10,11,140,21,Sunday,22,3.333
238,10,13,110,19,Sunday,22,2.895
239,11,12,50,11,Sunday,22,2.273
240,0,1,60,16,Sunday,24,1.875
241,0,2,140,45,Sunday,24,1.556
242,0,3,120,34,Sunday,24,1.765
243,1,2,100,39,Sunday,24,1.282
244,1,7,50,7,Sunday,24,3.571
245,2,5,90,13,Sunday,24,3.462
246,3,4,140,54,Sunday,24,1.296
247,3,10,130,31,Sunday,24,2.097
248,4,5,130,48,Sunday,24,1.354
249,4,6,140,28,Sunday,24,2.500
250,5,8,90,11,Sunday,24,4.091
251,5,12,130,28,Sunday,24,2.321
252,6,7,90,35,Sunday,24,1.286
253,7,9,90,25,Sunday,24,1.800
254,8,9,70,14,Sunday,24,2.500
255,9,11,100,24,Sunday,24,2.083
256,9,13,110,22,Sunday,24,2.500
257,10,11,70,7,Sunday,24,5.000
258,10,13,100,12,Sunday,24,4.167
259,11,12,140,16,Sunday,24,4.375
260,0,1,60,33,Monday,0,0.909
261,0,2,130,103,Monday,0,0.631
262,0,3,120,75,Monday,0,0.800
263,1,2,110,84,Monday,0,0.655
264,1,7,120,80,Monday,0,0.750
265,2,5,60,46,Monday,0,0.652
266,3,4,50,33,Monday,0,0.758
267,3,10,110,58,Monday,0,0.948
268,4,5,70,48,Monday,0,0.729
269,4,6,80,63,Monday,0,0.635
270,5,8,60,32,Monday,0,0.938
271,5,12,120,73,Monday,0,0.822
272,6,7,70,54,Monday,0,0.648
273,7,9,110,77,Monday,0,0.714
274,8,9,80,49,Monday,0,0.816
275,9,11,100,79,Monday,0,0.633
276,9,13,140,92,Monday,0,0.761
277,10,11,110,79,Monday,0,0.696
278,10,13,70,46,Monday,0,0.761
279,11,12,90,70,Monday,0,0.643
280,0,1,110,78,Monday,2,0.705
281,0,2,130,67,Monday,2,0.970
282,0,3,140,106,Monday,2,0.660
283,1,2,80,63,Monday,2,0.635
284,1,7,70,47,Monday,2,0.745
285,2,5,60,33,Monday,2,0.909
286,3,4,50,25,Monday,2,1.000
287,3,10,70,41,Monday,2,0.854
288,4,5,80,41,Monday,2,0.976
289,4,6,120,90,Monday,2,0.667
290,5,8,100,50,Monday,2,1.000
291,5,12,110,85,Monday,2,0.647
292,6,7,90,64,Monday,2,0.703
293,7,9,110,75,Monday,2,0.733
294,8,9,120,89,Monday,2,0.674
295,9,11,60,36,Monday,2,0.833
296,9,13,70,55,Monday,2,0.636
297,10,11,70,37,Monday,2,0.946
298,10,13,100,77,Monday,2,0.649
299,11,12,110,85,Monday,2,0.647
300,0,1,70,52,Monday,4,0.673
301,0,2,90,48,Monday,4,0.938
302,0,3,90,71,Monday,4,0.634
303,1,2,70,44,Monday,4,0.795
304,1,7,80,41,Monday,4,0.976
305,2,5,120,62,Monday,4,0.968
306,3,4,100,79,Monday,4,0.633
307,3,10,100,60,Monday,4,0.833
308,4,5,50,36,Monday,4,0.694
309,4,6,50,35,Monday,4,0.714
310,5,8,120,90,Monday,4,0.667
311,5,12,70,38,Monday,4,0.921
312,6,7,100,59,Monday,4,0.847
313,7,9,120,75,Monday,4,0.800
314,8,9,70,36,Monday,4,0.972
315,9,11,80,62,Monday,4,0.645
316,9,13,50,34,Monday,4,0.735
317,10,11,80,61,Monday,4,0.656
318,10,13,60,42,Monday,4,0.714
319,11,12,100,71,Monday,4,0.704
320,0,1,90,50,Monday,6,0.900
321,0,2,120,83,Monday,6,0.723
322,0,3,90,47,Monday,6,0.957
323,1,2,120,70,Monday,6,0.857
324,1,7,80,45,Monday,6,0.889
325,2,5,80,41,Monday,6,0.976
326,3,4,140,97,Monday,6,0.722
327,3,10,90,45,Monday,6,1.000
328,4,5,120,63,Monday,6,0.952
329,4,6,120,86,Monday,6,0.698
330,5,8,70,36,Monday,6,0.972
331,5,12,50,33,Monday,6,0.758
332,6,7,130,101,Monday,6,0.644
333,7,9,100,53,Monday,6,0.943
334,8,9,60,37,Monday,6,0.811
335,9,11,120,65,Monday,6,0.923
336,9,13,120,63,Monday,6,0.952
337,10,11,80,60,Monday,6,0.667
338,10,13,50,32,Monday,6,0.781
339,11,12,110,58,Monday,6,0.948
340,0,1,50,29,Monday,8,0.862
341,0,2,110,83,Monday,8,0.663
342,0,3,90,65,Monday,8,0.692
343,1,2,50,39,Monday,8,0.641
344,1,7,50,28,Monday,8,0.893
345,2,5,70,51,Monday,8,0.686
346,3,4,110,67,Monday,8,0.821
347,3,10,130,79,Monday,8,0.823
348,4,5,60,40,Monday,8,0.750
349,4,6,60,32,Monday,8,0.938
350,5,8,130,75,Monday,8,0.867
351,5,12,140,74,Monday,8,0.946
352,6,7,80,59,Monday,8,0.678
353,7,9,50,32,Monday,8,0.781
354,8,9,130,87,Monday,8,0.747
355,9,11,120,87,Monday,8,0.690
356,9,13,140,94,Monday,8,0.745
357,10,11,130,73,Monday,8,0.890
358,10,13,50,39,Monday,8,0.641
359,11,12,90,67,Monday,8,0.672
360,0,1,120,98,Monday,10,0.612
361,0,2,130,98,Monday,10,0.663
362,0,3,70,58,Monday,10,0.603
363,1,2,120,89,Monday,10,0.674
364,1,7,90,89,Monday,10,0.506
365,2,5,110,97,Monday,10,0.567
366,3,4,70,53,Monday,10,0.660
367,3,10,130,96,Monday,10,0.677
368,4,5,120,99,Monday,10,0.606
369,4,6,60,55,Monday,10,0.545
370,5,8,140,113,Monday,10,0.619
371,5,12,90,64,Monday,10,0.703
372,6,7,120,99,Monday,10,0.606
373,7,9,50,46,Monday,10,0.543
374,8,9,80,65,Monday,10,0.615
375,9,11,100,98,Monday,10,0.510
376,9,13,60,44,Monday,10,0.682
377,10,11,110,97,Monday,10,0.567
378,10,13,110,77,Monday,10,0.714
379,11,12,90,83,Monday,10,0.542
380,0,1,70,67,Monday,12,0.522
381,0,2,50,42,Monday,12,0.595
382,0,3,70,69,Monday,12,0.507
383,1,2,50,46,Monday,12,0.543
384,1,7,50,46,Monday,12,0.543
385,2,5,110,94,Monday,12,0.585
386,3,4,60,54,Monday,12,0.556
387,3,10,130,99,Monday,12,0.657
388,4,5,100,72,Monday,12,0.694
389,4,6,90,68,Monday,12,0.662
390,5,8,70,57,Monday,12,0.614
391,5,12,120,104,Monday,12,0.577
392,6,7,90,64,Monday,12,0.703
393,7,9,60,59,Monday,12,0.508
394,8,9,130,92,Monday,12,0.707
395,9,11,50,36,Monday,12,0.694
396,9,13,50,37,Monday,12,0.676
397,10,11,100,83,Monday,12,0.602
398,10,13,90,82,Monday,12,0.549
399,11,12,50,38,Monday,12,0.658
400,0,1,130,118,Monday,14,0.551
401,0,2,70,60,Monday,14,0.583
402,0,3,80,66,Monday,14,0.606
403,1,2,100,70,Monday,14,0.714
404,1,7,70,67,Monday,14,0.522
405,2,5,140,108,Monday,14,0.648
406,3,4,60,50,Monday,14,0.600
407,3,10,130,129,Monday,14,0.504
408,4,5,70,69,Monday,14,0.507
409,4,6,70,63,Monday,14,0.556
410,5,8,110,104,Monday,14,0.529
411,5,12,60,52,Monday,14,0.577
412,6,7,100,84,Monday,14,0.595
413,7,9,80,70,Monday,14,0.571
414,8,9,140,125,Monday,14,0.560
415,9,11,70,63,Monday,14,0.556
416,9,13,50,47,Monday,14,0.532
417,10,11,70,66,Monday,14,0.530
418,10,13,120,115,Monday,14,0.522
419,11,12,140,98,Monday,14,0.714
420,0,1,60,46,Monday,16,0.652
421,0,2,110,80,Monday,16,0.688
422,0,3,80,56,Monday,16,0.714
423,1,2,50,49,Monday,16,0.510
424,1,7,140,113,Monday,16,0.619
425,2,5,120,106,Monday,16,0.566
426,3,4,110,106,Monday,16,0.519
427,3,10,80,62,Monday,16,0.645
428,4,5,90,89,Monday,16,0.506
429,4,6,80,65,Monday,16,0.615
430,5,8,130,124,Monday,16,0.524
431,5,12,100,94,Monday,16,0.532
432,6,7,80,67,Monday,16,0.597
433,7,9,100,95,Monday,16,0.526
434,8,9,80,77,Monday,16,0.519
435,9,11,50,44,Monday,16,0.568
436,9,13,120,109,Monday,16,0.550
437,10,11,100,74,Monday,16,0.676
438,10,13,70,56,Monday,16,0.625
439,11,12,120,108,Monday,16,0.556
440,0,1,50,36,Monday,18,0.694
441,0,2,70,61,Monday,18,0.574
442,0,3,60,51,Monday,18,0.588
443,1,2,80,66,Monday,18,0.606
444,1,7,120,114,Monday,18,0.526
445,2,5,130,96,Monday,18,0.677
446,3,4,80,68,Monday,18,0.588
447,3,10,50,36,Monday,18,0.694
448,4,5,130,129,Monday,18,0.504
449,4,6,140,137,Monday,18,0.511
450,5,8,70,61,Monday,18,0.574
451,5,12,50,40,Monday,18,0.625
452,6,7,50,44,Monday,18,0.568
453,7,9,90,79,Monday,18,0.570
454,8,9,110,109,Monday,18,0.505
455,9,11,120,118,Monday,18,0.508
456,9,13,110,105,Monday,18,0.524
457,10,11,140,133,Monday,18,0.526
458,10,13,50,43,Monday,18,0.581
459,11,12,70,62,Monday,18,0.565
460,0,1,100,68,Monday,20,0.735
461,0,2,50,35,Monday,20,0.714
462,0,3,130,78,Monday,20,0.833
463,1,2,90,54,Monday,20,0.833
464,1,7,60,30,Monday,20,1.000
465,2,5,60,41,Monday,20,0.732
466,3,4,140,107,Monday,20,0.654
467,3,10,110,74,Monday,20,0.743
468,4,5,50,29,Monday,20,0.862
469,4,6,80,42,Monday,20,0.952
470,5,8,50,37,Monday,20,0.676
471,5,12,60,39,Monday,20,0.769
472,6,7,100,72,Monday,20,0.694
473,7,9,140,109,Monday,20,0.642
474,8,9,130,78,Monday,20,0.833
475,9,11,120,93,Monday,20,0.645
476,9,13,60,33,Monday,20,0.909
477,10,11,80,50,Monday,20,0.800
478,10,13,130,92,Monday,20,0.707
479,11,12,110,55,Monday,20,1.000
480,0,1,110,79,Monday,22,0.696
481,0,2,70,55,Monday,22,0.636
482,0,3,130,78,Monday,22,0.833
483,1,2,140,90,Monday,22,0.778
484,1,7,110,75,Monday,22,0.733
485,2,5,60,47,Monday,22,0.638
486,3,4,100,57,Monday,22,0.877
487,3,10,60,36,Monday,22,0.833
488,4,5,90,54,Monday,22,0.833
489,4,6,90,70,Monday,22,0.643
490,5,8,140,74,Monday,22,0.946
491,5,12,70,37,Monday,22,0.946
492,6,7,110,66,Monday,22,0.833
493,7,9,80,60,Monday,22,0.667
494,8,9,60,47,Monday,22,0.638
495,9,11,110,81,Monday,22,0.679
496,9,13,80,53,Monday,22,0.755
497,10,11,120,93,Monday,22,0.645
498,10,13,140,85,Monday,22,0.824
499,11,12,90,58,Monday,22,0.776
500,0,1,90,47,Monday,24,0.957
501,0,2,140,91,Monday,24,0.769
502,0,3,70,48,Monday,24,0.729
503,1,2,50,27,Monday,24,0.926
504,1,7,60,39,Monday,24,0.769
505,2,5,140,105,Monday,24,0.667
506,3,4,140,106,Monday,24,0.660
507,3,10,70,48,Monday,24,0.729
508,4,5,80,50,Monday,24,0.800
509,4,6,140,76,Monday,24,0.921
510,5,8,100,73,Monday,24,0.685
511,5,12,60,31,Monday,24,0.968
512,6,7,120,68,Monday,24,0.882
513,7,9,130,69,Monday,24,0.942
514,8,9,100,56,Monday,24,0.893
515,9,11,120,84,Monday,24,0.714
516,9,13,80,62,Monday,24,0.645
517,10,11,140,100,Monday,24,0.700
518,10,13,60,30,Monday,24,1.000
519,11,12,80,61,Monday,24,0.656
520,0,1,70,38,Tuesday,0,0.921
521,0,2,60,40,Tuesday,0,0.750
522,0,3,70,46,Tuesday,0,0.761
523,1,2,140,76,Tuesday,0,0.921
524,1,7,140,98,Tuesday,0,0.714
525,2,5,100,76,Tuesday,0,0.658
526,3,4,70,52,Tuesday,0,0.673
527,3,10,140,110,Tuesday,0,0.636
528,4,5,60,41,Tuesday,0,0.732
529,4,6,60,32,Tuesday,0,0.938
530,5,8,80,46,Tuesday,0,0.870
531,5,12,100,61,Tuesday,0,0.820
532,6,7,70,49,Tuesday,0,0.714
533,7,9,60,37,Tuesday,0,0.811
534,8,9,110,84,Tuesday,0,0.655
535,9,11,110,55,Tuesday,0,1.000
536,9,13,60,41,Tuesday,0,0.732
537,10,11,70,35,Tuesday,0,1.000
538,10,13,120,84,Tuesday,0,0.714
539,11,12,100,73,Tuesday,0,0.685
540,0,1,60,45,Tuesday,2,0.667
541,0,2,90,45,Tuesday,2,1.000
542,0,3,60,45,Tuesday,2,0.667
543,1,2,100,74,Tuesday,2,0.676
544,1,7,80,50,Tuesday,2,0.800
545,2,5,110,64,Tuesday,2,0.859
546,3,4,90,60,Tuesday,2,0.750
547,3,10,60,33,Tuesday,2,0.909
548,4,5,90,58,Tuesday,2,0.776
549,4,6,100,77,Tuesday,2,0.649
550,5,8,60,46,Tuesday,2,0.652
551,5,12,110,58,Tuesday,2,0.948
552,6,7,80,53,Tuesday,2,0.755
553,7,9,80,48,Tuesday,2,0.833
554,8,9,60,34,Tuesday,2,0.882
555,9,11,90,48,Tuesday,2,0.938
556,9,13,130,95,Tuesday,2,0.684
557,10,11,110,66,Tuesday,2,0.833
558,10,13,130,89,Tuesday,2,0.730
559,11,12,80,42,Tuesday,2,0.952
560,0,1,120,82,Tuesday,4,0.732
561,0,2,70,37,Tuesday,4,0.946
562,0,3,50,38,Tuesday,4,0.658
563,1,2,70,46,Tuesday,4,0.761
564,1,7,50,25,Tuesday,4,1.000
565,2,5,90,62,Tuesday,4,0.726
566,3,4,120,84,Tuesday,4,0.714
567,3,10,130,70,Tuesday,4,0.929
568,4,5,50,28,Tuesday,4,0.893
569,4,6,80,54,Tuesday,4,0.741
570,5,8,50,32,Tuesday,4,0.781
571,5,12,130,70,Tuesday,4,0.929
572,6,7,90,64,Tuesday,4,0.703
573,7,9,120,92,Tuesday,4,0.652
574,8,9,50,25,Tuesday,4,1.000
575,9,11,70,47,Tuesday,4,0.745
576,9,13,130,92,Tuesday,4,0.707
577,10,11,140,111,Tuesday,4,0.631
578,10,13,140,110,Tuesday,4,0.636
579,11,12,140,72,Tuesday,4,0.972
580,0,1,80,40,Tuesday,6,1.000
581,0,2,110,81,Tuesday,6,0.679
582,0,3,110,79,Tuesday,6,0.696
583,1,2,50,38,Tuesday,6,0.658
584,1,7,70,45,Tuesday,6,0.778
585,2,5,70,44,Tuesday,6,0.795
586,3,4,80,53,Tuesday,6,0.755
587,3,10,60,41,Tuesday,6,0.732
588,4,5,80,52,Tuesday,6,0.769
589,4,6,110,67,Tuesday,6,0.821
590,5,8,90,49,Tuesday,6,0.918
591,5,12,120,83,Tuesday,6,0.723
592,6,7,90,45,Tuesday,6,1.000
593,7,9,60,35,Tuesday,6,0.857
594,8,9,120,64,Tuesday,6,0.938
595,9,11,60,42,Tuesday,6,0.714
596,9,13,50,39,Tuesday,6,0.641
597,10,11,110,64,Tuesday,6,0.859
598,10,13,80,60,Tuesday,6,0.667
599,11,12,50,36,Tuesday,6,0.694
600,0,1,120,80,Tuesday,8,0.750
601,0,2,140,99,Tuesday,8,0.707
602,0,3,70,49,Tuesday,8,0.714
603,1,2,80,42,Tuesday,8,0.952
604,1,7,100,69,Tuesday,8,0.725
605,2,5,50,25,Tuesday,8,1.000
606,3,4,70,48,Tuesday,8,0.729
607,3,10,60,38,Tuesday,8,0.789
608,4,5,70,55,Tuesday,8,0.636
609,4,6,100,60,Tuesday,8,0.833
610,5,8,80,44,Tuesday,8,0.909
611,5,12,90,61,Tuesday,8,0.738
612,6,7,130,70,Tuesday,8,0.929
613,7,9,90,48,Tuesday,8,0.938
614,8,9,60,42,Tuesday,8,0.714
615,9,11,100,59,Tuesday,8,0.847
616,9,13,100,79,Tuesday,8,0.633
617,10,11,120,95,Tuesday,8,0.632
618,10,13,140,98,Tuesday,8,0.714
619,11,12,80,58,Tuesday,8,0.690
620,0,1,70,57,Tuesday,10,0.614
621,0,2,50,43,Tuesday,10,0.581
622,0,3,50,46,Tuesday,10,0.543
623,1,2,110,85,Tuesday,10,0.647
624,1,7,80,71,Tuesday,10,0.563
625,2,5,50,35,Tuesday,10,0.714
626,3,4,50,47,Tuesday,10,0.532
627,3,10,80,69,Tuesday,10,0.580
628,4,5,80,72,Tuesday,10,0.556
629,4,6,140,113,Tuesday,10,0.619
630,5,8,90,64,Tuesday,10,0.703
631,5,12,130,106,Tuesday,10,0.613
632,6,7,50,46,Tuesday,10,0.543
633,7,9,110,99,Tuesday,10,0.556
634,8,9,50,43,Tuesday,10,0.581
635,9,11,90,77,Tuesday,10,0.584
636,9,13,120,90,Tuesday,10,0.667
637,10,11,60,53,Tuesday,10,0.566
638,10,13,140,131,Tuesday,10,0.534
639,11,12,90,85,Tuesday,10,0.529
640,0,1,140,136,Tuesday,12,0.515
641,0,2,110,101,Tuesday,12,0.545
642,0,3,90,68,Tuesday,12,0.662
643,1,2,140,102,Tuesday,12,0.686
644,1,7,120,87,Tuesday,12,0.690
645,2,5,80,72,Tuesday,12,0.556
646,3,4,140,122,Tuesday,12,0.574
647,3,10,60,58,Tuesday,12,0.517
648,4,5,90,89,Tuesday,12,0.506
649,4,6,130,114,Tuesday,12,0.570
650,5,8,110,85,Tuesday,12,0.647
651,5,12,120,106,Tuesday,12,0.566
652,6,7,60,57,Tuesday,12,0.526
653,7,9,50,44,Tuesday,12,0.568
654,8,9,140,111,Tuesday,12,0.631
655,9,11,140,127,Tuesday,12,0.551
656,9,13,50,35,Tuesday,12,0.714
657,10,11,60,45,Tuesday,12,0.667
658,10,13,100,98,Tuesday,12,0.510
659,11,12,70,60,Tuesday,12,0.583
660,0,1,100,78,Tuesday,14,0.641
661,0,2,90,78,Tuesday,14,0.577
662,0,3,70,52,Tuesday,14,0.673
663,1,2,90,71,Tuesday,14,0.634
664,1,7,50,45,Tuesday,14,0.556
665,2,5,90,75,Tuesday,14,0.600
666,3,4,70,69,Tuesday,14,0.507
