,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,LinkWeight
0,0,0,1,50,17,Sunday,0,1.471
1,1,0,2,50,19,Sunday,0,1.316
2,2,0,3,60,13,Sunday,0,2.308
3,3,1,2,130,16,Sunday,0,4.062
4,4,1,7,130,23,Sunday,0,2.826
5,5,2,5,60,12,Sunday,0,2.500
6,6,3,4,110,24,Sunday,0,2.292
7,7,3,10,100,22,Sunday,0,2.273
8,8,4,5,140,53,Sunday,0,1.321
9,9,4,6,80,19,Sunday,0,2.105
10,10,5,8,90,14,Sunday,0,3.214
11,11,5,12,130,19,Sunday,0,3.421
12,12,6,7,50,14,Sunday,0,1.786
13,13,7,9,120,17,Sunday,0,3.529
14,14,8,9,110,15,Sunday,0,3.667
15,15,9,11,110,28,Sunday,0,1.964
16,16,9,13,80,22,Sunday,0,1.818
17,17,10,11,50,10,Sunday,0,2.500
18,18,10,13,50,18,Sunday,0,1.389
19,19,11,12,100,29,Sunday,0,1.724
20,20,0,1,100,29,Sunday,2,1.724
21,21,0,2,50,11,Sunday,2,2.273
22,22,0,3,120,43,Sunday,2,1.395
23,23,1,2,60,7,Sunday,2,4.286
24,24,1,7,120,13,Sunday,2,4.615
25,25,2,5,80,29,Sunday,2,1.379
26,26,3,4,90,23,Sunday,2,1.957
27,27,3,10,60,17,Sunday,2,1.765
28,28,4,5,110,17,Sunday,2,3.235
29,29,4,6,90,22,Sunday,2,2.045
30,30,5,8,50,9,Sunday,2,2.778
31,31,5,12,60,6,Sunday,2,5.000
32,32,6,7,110,41,Sunday,2,1.341
33,33,7,9,140,55,Sunday,2,1.273
34,34,8,9,90,24,Sunday,2,1.875
35,35,9,11,130,49,Sunday,2,1.327
36,36,9,13,140,29,Sunday,2,2.414
37,37,10,11,110,16,Sunday,2,3.438
38,38,10,13,70,8,Sunday,2,4.375
39,39,11,12,140,19,Sunday,2,3.684
40,40,0,1,60,7,Sunday,4,4.286
41,41,0,2,140,41,Sunday,4,1.707
42,42,0,3,70,7,Sunday,4,5.000
43,43,1,2,110,12,Sunday,4,4.583
44,44,1,7,80,31,Sunday,4,1.290
45,45,2,5,60,17,Sunday,4,1.765
46,46,3,4,50,19,Sunday,4,1.316
47,47,3,10,120,35,Sunday,4,1.714
48,48,4,5,140,51,Sunday,4,1.373
49,49,4,6,140,15,Sunday,4,4.667
50,50,5,8,110,19,Sunday,4,2.895
51,51,5,12,60,20,Sunday,4,1.500
52,52,6,7,80,31,Sunday,4,1.290
53,53,7,9,60,21,Sunday,4,1.429
54,54,8,9,50,7,Sunday,4,3.571
55,55,9,11,60,22,Sunday,4,1.364
56,56,9,13,70,12,Sunday,4,2.917
57,57,10,11,130,21,Sunday,4,3.095
58,58,10,13,80,10,Sunday,4,4.000
59,59,11,12,90,14,Sunday,4,3.214
60,60,0,1,70,26,Sunday,6,1.346
61,61,0,2,90,29,Sunday,6,1.552
62,62,0,3,140,50,Sunday,6,1.400
63,63,1,2,130,13,Sunday,6,5.000
64,64,1,7,50,13,Sunday,6,1.923
65,65,2,5,130,27,Sunday,6,2.407
66,66,3,4,140,44,Sunday,6,1.591
67,67,3,10,110,33,Sunday,6,1.667
68,68,4,5,100,11,Sunday,6,4.545
69,69,4,6,110,27,Sunday,6,2.037
70,70,5,8,50,19,Sunday,6,1.316
71,71,5,12,60,9,Sunday,6,3.333
72,72,6,7,90,32,Sunday,6,1.406
73,73,7,9,50,9,Sunday,6,2.778
74,74,8,9,110,31,Sunday,6,1.774
75,75,9,11,90,31,Sunday,6,1.452
76,76,9,13,120,32,Sunday,6,1.875
77,77,10,11,80,10,Sunday,6,4.000
78,78,10,13,120,24,Sunday,6,2.500
79,79,11,12,70,27,Sunday,6,1.296
80,80,0,1,50,18,Sunday,8,1.389
81,81,0,2,70,23,Sunday,8,1.522
82,82,0,3,110,26,Sunday,8,2.115
83,83,1,2,60,16,Sunday,8,1.875
84,84,1,7,120,16,Sunday,8,3.750
85,85,2,5,100,13,Sunday,8,3.846
86,86,3,4,130,21,Sunday,8,3.095
87,87,3,10,70,19,Sunday,8,1.842
88,88,4,5,110,38,Sunday,8,1.447
89,89,4,6,120,34,Sunday,8,1.765
90,90,5,8,110,37,Sunday,8,1.486
91,91,5,12,130,39,Sunday,8,1.667
92,92,6,7,100,24,Sunday,8,2.083
93,93,7,9,60,17,Sunday,8,1.765
94,94,8,9,140,50,Sunday,8,1.400
95,95,9,11,50,18,Sunday,8,1.389
96,96,9,13,70,8,Sunday,8,4.375
97,97,10,11,90,9,Sunday,8,5.000
98,98,10,13,70,26,Sunday,8,1.346
99,99,11,12,60,8,Sunday,8,3.750
100,100,0,1,100,44,Sunday,10,1.136
101,101,0,2,110,46,Sunday,10,1.196
102,102,0,3,110,58,Sunday,10,0.948
103,103,1,2,80,43,Sunday,10,0.930
104,104,1,7,130,55,Sunday,10,1.182
105,105,2,5,90,47,Sunday,10,0.957
106,106,3,4,140,42,Sunday,10,1.667
107,107,3,10,50,26,Sunday,10,0.962
108,108,4,5,110,36,Sunday,10,1.528
109,109,4,6,90,31,Sunday,10,1.452
110,110,5,8,80,41,Sunday,10,0.976
111,111,5,12,90,32,Sunday,10,1.406
112,112,6,7,120,64,Sunday,10,0.938
113,113,7,9,120,64,Sunday,10,0.938
114,114,8,9,80,43,Sunday,10,0.930
115,115,9,11,140,59,Sunday,10,1.186
